Monitoring_Window,Feature,PSI_Drift_Score
M1,network_packet_size,0.0
M1,login_attempts,0.0
M1,session_duration,0.0
M1,ip_reputation_score,0.0
M1,failed_logins,0.0
M1,unusual_time_access,0.0
M2,network_packet_size,0.0073
M2,login_attempts,0.0036
M2,session_duration,0.009
M2,ip_reputation_score,0.0056
M2,failed_logins,0.0011
M2,unusual_time_access,0.0
M3,network_packet_size,0.0088
M3,login_attempts,0.0029
M3,session_duration,0.0074
M3,ip_reputation_score,0.0048
M3,failed_logins,0.0038
M3,unusual_time_access,0.0
M4,network_packet_size,0.015
M4,login_attempts,0.0079
M4,session_duration,0.0123
M4,ip_reputation_score,0.0085
M4,failed_logins,0.0014
M4,unusual_time_access,0.0
M5,network_packet_size,0.0076
M5,login_attempts,0.0059
M5,session_duration,0.0063
M5,ip_reputation_score,0.0038
M5,failed_logins,0.0021
M5,unusual_time_access,0.0
